f, a0, b0, c0, d0
67.50,-1.150791e+00,2.157172e-02,-3.508820e-04,2.542882e-03
68.00,-1.387003e+00,2.310007e-02,-5.074020e-04,6.219650e-04
68.50,-1.726357e+00,2.496528e-02,-6.321004e-04,-8.052972e-04
69.00,-2.086606e+00,2.679256e-02,-7.238590e-04,-1.730541e-03
69.50,-2.382560e+00,2.820331e-02,-7.756333e-04,-2.295188e-03
70.00,-2.592492e+00,2.916126e-02,-7.958885e-04,-2.444973e-03
70.50,-2.729634e+00,2.977162e-02,-8.019511e-04,-2.522998e-03
71.00,-2.828868e+00,3.021282e-02,-8.046727e-04,-2.588993e-03
71.50,-2.906667e+00,3.056008e-02,-8.063990e-04,-2.649481e-03
72.00,-2.970905e+00,3.084823e-02,-8.078029e-04,-2.705738e-03
72.50,-3.025851e+00,3.109597e-02,-8.091306e-04,-2.758537e-03
73.00,-3.074140e+00,3.131470e-02,-8.104904e-04,-2.808016e-03
73.50,-3.117395e+00,3.151160e-02,-8.119257e-04,-2.854971e-03
74.00,-3.156779e+00,3.169170e-02,-8.134581e-04,-2.899635e-03
74.50,-3.193109e+00,3.185856e-02,-8.150948e-04,-2.942300e-03
75.00,-3.226985e+00,3.201481e-02,-8.168366e-04,-2.983210e-03
75.50,-3.258858e+00,3.216242e-02,-8.186808e-04,-3.022565e-03
76.00,-3.289076e+00,3.230289e-02,-8.206229e-04,-3.060527e-03
76.50,-3.317909e+00,3.243743e-02,-8.226576e-04,-3.097235e-03
77.00,-3.345555e+00,3.256693e-02,-8.247782e-04,-3.132929e-03
77.50,-3.372239e+00,3.269225e-02,-8.269827e-04,-3.167317e-03
78.00,-3.398047e+00,3.281390e-02,-8.292623e-04,-3.200862e-03
78.50,-3.423110e+00,3.293241e-02,-8.316131e-04,-3.233501e-03
79.00,-3.447521e+00,3.304818e-02,-8.340301e-04,-3.265287e-03
79.50,-3.471356e+00,3.316156e-02,-8.365088e-04,-3.296266e-03
80.00,-3.494679e+00,3.327281e-02,-8.390450e-04,-3.326474e-03
80.50,-3.517542e+00,3.338218e-02,-8.416345e-04,-3.355942e-03
81.00,-3.539987e+00,3.348984e-02,-8.442736e-04,-3.384696e-03
81.50,-3.562052e+00,3.359597e-02,-8.469586e-04,-3.412756e-03
82.00,-3.583764e+00,3.370068e-02,-8.496860e-04,-3.440140e-03
82.50,-3.605148e+00,3.380408e-02,-8.524524e-04,-3.466861e-03
83.00,-3.626223e+00,3.390627e-02,-8.552547e-04,-3.492930e-03
83.50,-3.647004e+00,3.400729e-02,-8.580897e-04,-3.518356e-03
84.00,-3.667503e+00,3.410722e-02,-8.609544e-04,-3.543146e-03
84.50,-3.687727e+00,3.420609e-02,-8.638458e-04,-3.567305e-03
85.00,-3.707683e+00,3.430392e-02,-8.667609e-04,-3.590836e-03
85.50,-3.727374e+00,3.440072e-02,-8.696967e-04,-3.613743e-03
86.00,-3.746800e+00,3.449652e-02,-8.726503e-04,-3.636028e-03
86.50,-3.765962e+00,3.459130e-02,-8.756187e-04,-3.657693e-03
87.00,-3.784856e+00,3.468506e-02,-8.785989e-04,-3.678737e-03
87.50,-3.803478e+00,3.477777e-02,-8.815878e-04,-3.699163e-03
88.00,-3.821821e+00,3.486942e-02,-8.845822e-04,-3.718971e-03
88.50,-3.839879e+00,3.495997e-02,-8.875790e-04,-3.738162e-03
89.00,-3.857643e+00,3.504938e-02,-8.905748e-04,-3.756737e-03
89.50,-3.875103e+00,3.513763e-02,-8.935661e-04,-3.774698e-03
90.00,-3.892248e+00,3.522465e-02,-8.965493e-04,-3.792046e-03
90.50,-3.909065e+00,3.531040e-02,-8.995206e-04,-3.808785e-03
91.00,-3.925542e+00,3.539482e-02,-9.024760e-04,-3.824919e-03
91.50,-3.941664e+00,3.547785e-02,-9.054113e-04,-3.840450e-03
92.00,-3.957418e+00,3.555943e-02,-9.083220e-04,-3.855386e-03
92.50,-3.972786e+00,3.563948e-02,-9.112036e-04,-3.869731e-03
93.00,-3.987753e+00,3.571795e-02,-9.140508e-04,-3.883495e-03
93.50,-4.002301e+00,3.579475e-02,-9.168585e-04,-3.896687e-03
94.00,-4.016414e+00,3.586980e-02,-9.196208e-04,-3.909316e-03
94.50,-4.030073e+00,3.594303e-02,-9.223315e-04,-3.921395e-03
95.00,-4.043260e+00,3.601435e-02,-9.249840e-04,-3.932938e-03
95.50,-4.055956e+00,3.608367e-02,-9.275712e-04,-3.943960e-03
96.00,-4.068143e+00,3.615092e-02,-9.300851e-04,-3.954478e-03
96.50,-4.079803e+00,3.621601e-02,-9.325174e-04,-3.964511e-03
97.00,-4.090916e+00,3.627884e-02,-9.348587e-04,-3.974079e-03
97.50,-4.101466e+00,3.633933e-02,-9.370990e-04,-3.983205e-03
98.00,-4.111436e+00,3.639739e-02,-9.392271e-04,-3.991913e-03
98.50,-4.120809e+00,3.645294e-02,-9.412308e-04,-4.000229e-03
99.00,-4.129570e+00,3.650590e-02,-9.430964e-04,-4.008180e-03
99.50,-4.137708e+00,3.655618e-02,-9.448091e-04,-4.015795e-03
100.00,-4.145210e+00,3.660372e-02,-9.463520e-04,-4.023103e-03
100.50,-4.152067e+00,3.664845e-02,-9.477064e-04,-4.030136e-03
101.00,-4.158260e+00,3.669027e-02,-9.488494e-04,-4.037054e-03
101.50,-4.163833e+00,3.672923e-02,-9.497631e-04,-4.043501e-03
102.00,-4.168740e+00,3.676519e-02,-9.504148e-04,-4.049895e-03
102.50,-4.173005e+00,3.679817e-02,-9.507759e-04,-4.056136e-03
103.00,-4.176641e+00,3.682814e-02,-9.508115e-04,-4.062252e-03
103.50,-4.179667e+00,3.685511e-02,-9.504814e-04,-4.068266e-03
104.00,-4.182111e+00,3.687912e-02,-9.497391e-04,-4.074197e-03
104.50,-4.184010e+00,3.690020e-02,-9.485304e-04,-4.080059e-03
105.00,-4.185410e+00,3.691845e-02,-9.467921e-04,-4.085856e-03
105.50,-4.186373e+00,3.693395e-02,-9.444494e-04,-4.091582e-03
106.00,-4.186971e+00,3.694687e-02,-9.414136e-04,-4.097216e-03
106.50,-4.187296e+00,3.695737e-02,-9.375788e-04,-4.102720e-03
107.00,-4.187460e+00,3.696568e-02,-9.328171e-04,-4.108036e-03
107.50,-4.187597e+00,3.697209e-02,-9.269731e-04,-4.113075e-03
108.00,-4.187871e+00,3.697693e-02,-9.198562e-04,-4.117713e-03
108.50,-4.188483e+00,3.698062e-02,-9.112301e-04,-4.121781e-03
109.00,-4.189676e+00,3.698365e-02,-9.007995e-04,-4.125050e-03
109.50,-4.191752e+00,3.698662e-02,-8.881904e-04,-4.127214e-03
110.00,-4.195082e+00,3.699027e-02,-8.729240e-04,-4.127866e-03
110.50,-4.200138e+00,3.699553e-02,-8.543794e-04,-4.126463e-03
111.00,-4.207523e+00,3.700353e-02,-8.317393e-04,-4.122271e-03
111.50,-4.218024e+00,3.701577e-02,-8.039116e-04,-4.114297e-03
112.00,-4.232692e+00,3.703422e-02,-7.694113e-04,-4.101167e-03
112.50,-4.252970e+00,3.706163e-02,-7.261810e-04,-4.080948e-03
113.00,-4.280898e+00,3.710190e-02,-6.713080e-04,-4.050853e-03
113.50,-4.319456e+00,3.716096e-02,-6.005703e-04,-4.006741e-03
114.00,-4.373168e+00,3.724817e-02,-5.076818e-04,-3.942241e-03
114.50,-4.449211e+00,3.737932e-02,-3.829976e-04,-3.847107e-03
115.00,-4.559548e+00,3.758276e-02,-2.112151e-04,-3.703963e-03
115.50,-4.725358e+00,3.791350e-02,3.285812e-05,-3.481288e-03
116.00,-4.986906e+00,3.848820e-02,3.923312e-04,-3.116662e-03
116.50,-5.427830e+00,3.958245e-02,9.436323e-04,-2.470857e-03
117.00,-6.242421e+00,4.193840e-02,1.824386e-03,-1.175905e-03
117.50,-7.953747e+00,4.791476e-02,3.265953e-03,2.017246e-03
118.00,-1.230856e+01,6.689681e-02,5.464526e-03,1.319174e-02
118.50,-2.781343e+01,1.528955e-01,6.693625e-03,7.529415e-02
118.75,-5.554675e+01,4.334093e-01,-2.091040e-03,1.629390e-01
119.00,-2.790747e+01,1.533818e-01,6.689636e-03,7.557625e-02
119.50,-1.237248e+01,6.718028e-02,5.470551e-03,1.320081e-02
120.00,-8.010921e+00,4.817338e-02,3.269361e-03,1.944917e-03
120.50,-6.301105e+00,4.221760e-02,1.823607e-03,-1.288074e-03
121.00,-5.491564e+00,3.989863e-02,9.388694e-04,-2.613144e-03
121.50,-5.057510e+00,3.884903e-02,3.838999e-04,-3.285725e-03
122.00,-4.803918e+00,3.832339e-02,2.098062e-05,-3.675269e-03
122.50,-4.646795e+00,3.804472e-02,-2.264051e-04,-3.921314e-03
123.00,-4.545693e+00,3.789566e-02,-4.014299e-04,-4.086262e-03
123.50,-4.479341e+00,3.782087e-02,-5.293297e-04,-4.201523e-03
124.00,-4.435724e+00,3.779186e-02,-6.254377e-04,-4.284343e-03
124.50,-4.407647e+00,3.779280e-02,-6.994201e-04,-4.344846e-03
125.00,-4.390579e+00,3.781430e-02,-7.575787e-04,-4.389301e-03
125.50,-4.381546e+00,3.785050e-02,-8.041469e-04,-4.421764e-03
126.00,-4.378519e+00,3.789754e-02,-8.420454e-04,-4.444961e-03
126.50,-4.380071e+00,3.795273e-02,-8.733375e-04,-4.460785e-03
127.00,-4.385166e+00,3.801417e-02,-8.995119e-04,-4.470589e-03
127.50,-4.393035e+00,3.808043e-02,-9.216632e-04,-4.475368e-03
128.00,-4.403089e+00,3.815041e-02,-9.406097e-04,-4.475871e-03
128.50,-4.414874e+00,3.822325e-02,-9.569724e-04,-4.472677e-03
129.00,-4.428027e+00,3.829823e-02,-9.712293e-04,-4.466241e-03
129.50,-4.442258e+00,3.837477e-02,-9.837526e-04,-4.456932e-03
130.00,-4.457329e+00,3.845240e-02,-9.948357e-04,-4.445051e-03
130.50,-4.473044e+00,3.853070e-02,-1.004712e-03,-4.430851e-03
131.00,-4.489240e+00,3.860930e-02,-1.013569e-03,-4.414548e-03
131.50,-4.505779e+00,3.868790e-02,-1.021558e-03,-4.396328e-03
132.00,-4.522545e+00,3.876625e-02,-1.028804e-03,-4.376354e-03
132.50,-4.539438e+00,3.884409e-02,-1.035409e-03,-4.354770e-03
133.00,-4.556376e+00,3.892124e-02,-1.041456e-03,-4.331706e-03
133.50,-4.573284e+00,3.899752e-02,-1.047018e-03,-4.307280e-03
134.00,-4.590101e+00,3.907278e-02,-1.052152e-03,-4.281596e-03
134.50,-4.606774e+00,3.914687e-02,-1.056909e-03,-4.254754e-03
135.00,-4.623257e+00,3.921970e-02,-1.061330e-03,-4.226842e-03
135.50,-4.639511e+00,3.929116e-02,-1.065453e-03,-4.197944e-03
136.00,-4.655504e+00,3.936116e-02,-1.069307e-03,-4.168137e-03
136.50,-4.671207e+00,3.942964e-02,-1.072918e-03,-4.137493e-03
137.00,-4.686596e+00,3.949654e-02,-1.076311e-03,-4.106079e-03
137.50,-4.701652e+00,3.956180e-02,-1.079505e-03,-4.073956e-03
138.00,-4.716358e+00,3.962540e-02,-1.082516e-03,-4.041185e-03
138.50,-4.730700e+00,3.968730e-02,-1.085360e-03,-4.007819e-03
139.00,-4.744669e+00,3.974747e-02,-1.088051e-03,-3.973909e-03
139.50,-4.758255e+00,3.980590e-02,-1.090599e-03,-3.939506e-03
140.00,-4.771453e+00,3.986258e-02,-1.093016e-03,-3.904652e-03
140.50,-4.784257e+00,3.991751e-02,-1.095310e-03,-3.869393e-03
141.00,-4.796666e+00,3.997068e-02,-1.097490e-03,-3.833766e-03
141.50,-4.808676e+00,4.002210e-02,-1.099562e-03,-3.797811e-03
142.00,-4.820289e+00,4.007178e-02,-1.101534e-03,-3.761563e-03
142.50,-4.831504e+00,4.011972e-02,-1.103411e-03,-3.725056e-03
143.00,-4.842324e+00,4.016594e-02,-1.105198e-03,-3.688320e-03
143.50,-4.852752e+00,4.021046e-02,-1.106901e-03,-3.651385e-03
144.00,-4.862790e+00,4.025330e-02,-1.108523e-03,-3.614280e-03
144.50,-4.872443e+00,4.029447e-02,-1.110069e-03,-3.577031e-03
145.00,-4.881714e+00,4.033400e-02,-1.111542e-03,-3.539662e-03
145.50,-4.890609e+00,4.037192e-02,-1.112946e-03,-3.502198e-03
146.00,-4.899134e+00,4.040824e-02,-1.114283e-03,-3.464659e-03
146.50,-4.907294e+00,4.044299e-02,-1.115557e-03,-3.427067e-03
147.00,-4.915094e+00,4.047621e-02,-1.116771e-03,-3.389441e-03
147.50,-4.922542e+00,4.050791e-02,-1.117925e-03,-3.351800e-03
148.00,-4.929643e+00,4.053813e-02,-1.119024e-03,-3.314161e-03
148.50,-4.936404e+00,4.056689e-02,-1.120068e-03,-3.276541e-03
149.00,-4.942832e+00,4.059422e-02,-1.121061e-03,-3.238954e-03
149.50,-4.948932e+00,4.062016e-02,-1.122003e-03,-3.201415e-03
150.00,-4.954713e+00,4.064472e-02,-1.122897e-03,-3.163938e-03
150.50,-4.960181e+00,4.066794e-02,-1.123745e-03,-3.126536e-03
151.00,-4.965326e+00,4.068982e-02,-1.124545e-03,-3.089359e-03
151.50,-4.970205e+00,4.071049e-02,-1.125305e-03,-3.052004e-03
152.00,-4.974774e+00,4.072986e-02,-1.126021e-03,-3.014896e-03
152.50,-4.979058e+00,4.074801e-02,-1.126696e-03,-2.977906e-03
153.00,-4.983063e+00,4.076497e-02,-1.127331e-03,-2.941046e-03
153.50,-4.986795e+00,4.078075e-02,-1.127928e-03,-2.904322e-03
154.00,-4.990261e+00,4.079540e-02,-1.128487e-03,-2.867744e-03
154.50,-4.993468e+00,4.080893e-02,-1.129011e-03,-2.831319e-03
155.00,-4.996423e+00,4.082137e-02,-1.129499e-03,-2.795055e-03
155.50,-4.999131e+00,4.083276e-02,-1.129953e-03,-2.758959e-03
156.00,-5.001599e+00,4.084312e-02,-1.130374e-03,-2.723036e-03
156.50,-5.003833e+00,4.085246e-02,-1.130763e-03,-2.687294e-03
157.00,-5.005839e+00,4.086083e-02,-1.131120e-03,-2.651737e-03
157.50,-5.007624e+00,4.086824e-02,-1.131448e-03,-2.616370e-03
158.00,-5.009193e+00,4.087473e-02,-1.131745e-03,-2.581200e-03
158.50,-5.010552e+00,4.088030e-02,-1.132015e-03,-2.546229e-03
159.00,-5.011706e+00,4.088499e-02,-1.132256e-03,-2.511463e-03
159.50,-5.012662e+00,4.088883e-02,-1.132470e-03,-2.476906e-03
160.00,-5.013424e+00,4.089183e-02,-1.132658e-03,-2.442560e-03
160.50,-5.013999e+00,4.089401e-02,-1.132820e-03,-2.408429e-03
161.00,-5.014391e+00,4.089541e-02,-1.132958e-03,-2.374517e-03
161.50,-5.014605e+00,4.089604e-02,-1.133071e-03,-2.340825e-03
162.00,-5.014648e+00,4.089592e-02,-1.133161e-03,-2.307358e-03
162.50,-5.014522e+00,4.089507e-02,-1.133227e-03,-2.274116e-03
163.00,-5.014234e+00,4.089352e-02,-1.133272e-03,-2.241102e-03
163.50,-5.013772e+00,4.089124e-02,-1.133293e-03,-2.208456e-03
164.00,-5.013189e+00,4.088837e-02,-1.133297e-03,-2.175767e-03
164.50,-5.012442e+00,4.088482e-02,-1.133278e-03,-2.143448e-03
165.00,-5.011550e+00,4.088064e-02,-1.133240e-03,-2.111364e-03
165.50,-5.010518e+00,4.087585e-02,-1.133182e-03,-2.079516e-03
166.00,-5.009350e+00,4.087047e-02,-1.133106e-03,-2.047905e-03
166.50,-5.008051e+00,4.086451e-02,-1.133011e-03,-2.016531e-03
167.00,-5.006624e+00,4.085800e-02,-1.132899e-03,-1.985396e-03
167.50,-5.005074e+00,4.085095e-02,-1.132769e-03,-1.954500e-03
168.00,-5.003404e+00,4.084337e-02,-1.132623e-03,-1.923843e-03
168.50,-5.001618e+00,4.083529e-02,-1.132460e-03,-1.893426e-03
169.00,-4.999719e+00,4.082671e-02,-1.132282e-03,-1.863249e-03
169.50,-4.997712e+00,4.081766e-02,-1.132088e-03,-1.833313e-03
170.00,-4.995600e+00,4.080814e-02,-1.131879e-03,-1.803616e-03
170.50,-4.993386e+00,4.079818e-02,-1.131656e-03,-1.774159e-03
171.00,-4.991074e+00,4.078779e-02,-1.131419e-03,-1.744943e-03
171.50,-4.988666e+00,4.077697e-02,-1.131169e-03,-1.715965e-03
172.00,-4.986166e+00,4.076576e-02,-1.130905e-03,-1.687227e-03
172.50,-4.983578e+00,4.075415e-02,-1.130628e-03,-1.658728e-03
173.00,-4.980903e+00,4.074216e-02,-1.130339e-03,-1.630466e-03
173.50,-4.978146e+00,4.072980e-02,-1.130038e-03,-1.602442e-03
174.00,-4.975308e+00,4.071709e-02,-1.129725e-03,-1.574655e-03
174.50,-4.972393e+00,4.070404e-02,-1.129400e-03,-1.547103e-03
175.00,-4.969404e+00,4.069066e-02,-1.129065e-03,-1.519787e-03
175.50,-4.966342e+00,4.067696e-02,-1.128719e-03,-1.492705e-03
176.00,-4.963212e+00,4.066295e-02,-1.128363e-03,-1.465857e-03
176.50,-4.960014e+00,4.064865e-02,-1.127997e-03,-1.439240e-03
177.00,-4.956752e+00,4.063406e-02,-1.127621e-03,-1.412855e-03
177.50,-4.953428e+00,4.061920e-02,-1.127236e-03,-1.386701e-03
178.00,-4.950045e+00,4.060407e-02,-1.126842e-03,-1.360775e-03
178.50,-4.946604e+00,4.058868e-02,-1.126439e-03,-1.335077e-03
179.00,-4.943108e+00,4.057305e-02,-1.126027e-03,-1.309605e-03
179.50,-4.939559e+00,4.055718e-02,-1.125608e-03,-1.284359e-03
