f, av, bv, cv, dv
90.50,9.403078e-02,4.107797e-04,-3.310864e-04,3.752262e-05
91.00,9.510494e-02,4.153586e-04,-3.348676e-04,3.794599e-05
91.50,9.618595e-02,4.199643e-04,-3.386729e-04,3.837225e-05
92.00,9.727385e-02,4.245969e-04,-3.425024e-04,3.880140e-05
92.50,9.836865e-02,4.292564e-04,-3.463563e-04,3.923347e-05
93.00,9.947039e-02,4.339429e-04,-3.502346e-04,3.966846e-05
93.50,1.005791e-01,4.386564e-04,-3.541374e-04,4.010639e-05
94.00,1.016948e-01,4.433968e-04,-3.580648e-04,4.054727e-05
94.50,1.028176e-01,4.481643e-04,-3.620171e-04,4.099112e-05
95.00,1.039474e-01,4.529587e-04,-3.659941e-04,4.143796e-05
95.50,1.050843e-01,4.577803e-04,-3.699962e-04,4.188780e-05
96.00,1.062284e-01,4.626290e-04,-3.740234e-04,4.234065e-05
96.50,1.073796e-01,4.675048e-04,-3.780757e-04,4.279654e-05
97.00,1.085380e-01,4.724078e-04,-3.821534e-04,4.325547e-05
97.50,1.097036e-01,4.773381e-04,-3.862565e-04,4.371748e-05
98.00,1.108765e-01,4.822956e-04,-3.903852e-04,4.418258e-05
98.50,1.120567e-01,4.872804e-04,-3.945395e-04,4.465079e-05
99.00,1.132442e-01,4.922926e-04,-3.987196e-04,4.512212e-05
99.50,1.144390e-01,4.973323e-04,-4.029256e-04,4.559661e-05
100.00,1.156413e-01,5.023994e-04,-4.071576e-04,4.607427e-05
100.50,1.168509e-01,5.074940e-04,-4.114157e-04,4.655512e-05
101.00,1.180681e-01,5.126163e-04,-4.157001e-04,4.703920e-05
101.50,1.192927e-01,5.177663e-04,-4.200108e-04,4.752651e-05
102.00,1.205248e-01,5.229440e-04,-4.243480e-04,4.801710e-05
102.50,1.217645e-01,5.281495e-04,-4.287117e-04,4.851098e-05
103.00,1.230118e-01,5.333830e-04,-4.331021e-04,4.900818e-05
103.50,1.242667e-01,5.386446e-04,-4.375193e-04,4.950873e-05
104.00,1.255292e-01,5.439342e-04,-4.419632e-04,5.001267e-05
104.50,1.267994e-01,5.492522e-04,-4.464341e-04,5.052002e-05
105.00,1.280772e-01,5.545986e-04,-4.509320e-04,5.103081e-05
105.50,1.293628e-01,5.599735e-04,-4.554569e-04,5.154509e-05
106.00,1.306560e-01,5.653771e-04,-4.600089e-04,5.206288e-05
106.50,1.319569e-01,5.708097e-04,-4.645879e-04,5.258423e-05
107.00,1.332656e-01,5.762714e-04,-4.691939e-04,5.310917e-05
107.50,1.345819e-01,5.817624e-04,-4.738269e-04,5.363776e-05
108.00,1.359059e-01,5.872831e-04,-4.784867e-04,5.417003e-05
108.50,1.372375e-01,5.928338e-04,-4.831730e-04,5.470604e-05
109.00,1.385767e-01,5.984148e-04,-4.878857e-04,5.524583e-05
109.50,1.399233e-01,6.040266e-04,-4.926243e-04,5.578947e-05
110.00,1.412772e-01,6.096697e-04,-4.973883e-04,5.633702e-05
110.50,1.426382e-01,6.153445e-04,-5.021768e-04,5.688853e-05
111.00,1.440061e-01,6.210519e-04,-5.069890e-04,5.744408e-05
111.50,1.453806e-01,6.267926e-04,-5.118235e-04,5.800375e-05
112.00,1.467613e-01,6.325676e-04,-5.166785e-04,5.856759e-05
112.50,1.481475e-01,6.383778e-04,-5.215516e-04,5.913570e-05
